anomalyID,srcIP,srcPort,dstIP,dstPort,taxonomy,heuristic,distance,nbDetectors,label
1,80.93.52.184,80,142.17.237.232,54670,alphflHTTP,503,-1.061634,1,notice
2,142.13.116.17,11889,208.13.242.30,63864,alphfl,999,-1.061634,1,notice
3,80.93.52.184,63884,171.159.72.207,80,salphfl,503,-1.061634,1,notice
4,142.17.12.247,,146.217.203.216,80,alphflHTTP,503,-1.061634,1,notice
5,12.77.37.192,63866,144.194.97.187,993,alphfl,999,-1.061634,1,notice
6,164.220.242.242,,65.61.77.251,182,alphfl,999,-1.061634,1,notice
7,80.93.52.184,,142.13.116.17,,ptmpla,504,-1.061634,1,notice
8,142.17.36.178,,,443,ntscACK,504,-1.061634,1,notice
9,158.182.58.73,,,,alphflHTTP,503,-1.061634,1,notice
10,136.39.113.49,,,,ptmpla,504,-1.061634,1,notice
